Date,Close,High,Low,Open,Volume,Ticker
,MSFT,MSFT,MSFT,MSFT,MSFT,
2023-07-12,332.0370178222656,336.4188641924921,330.53044542143925,331.4461986346193,29995300,MSFT
2023-07-13,337.4133605957031,338.47681093963564,333.8290800785116,334.36082027563174,20567200,MSFT
2023-07-14,339.953857421875,346.0490818076083,339.0381043039025,342.2678814702268,28352700,MSFT
2023-07-17,340.4364013671875,341.67708857215035,336.960451802306,340.3871489068747,20363900,MSFT
2023-07-18,353.9856262207031,361.16401313001876,336.93084583021295,340.5347789596811,64738600,MSFT
2023-07-19,349.6431884765625,356.9101946041354,347.04362639492615,356.21107416498864,39732900,MSFT
2023-07-20,341.5588684082031,352.488915911332,340.0818357740048,348.15629286107804,33778400,MSFT
2023-07-21,338.50634765625,344.93636222302956,334.62667264440915,343.8039764820787,69405400,MSFT
2023-07-24,339.8258361816406,341.6081500253585,337.06872038252897,340.5545261109339,26678100,MSFT
2023-07-25,345.6059875488281,346.50205770801625,339.78647478990905,341.79521773437693,41637700,MSFT
2023-07-26,332.5982360839844,339.3926110246211,328.00958389884386,336.21205623429853,58383700,MSFT
2023-07-27,325.65618896484375,336.1037197516402,324.0117459121444,335.2667585487862,39635300,MSFT
2023-07-28,333.1890563964844,334.8039600258681,328.0686940198267,328.5610382897155,28484900,MSFT
2023-07-31,330.7765197753906,332.5292638152956,328.25568998343306,331.76120811354633,25446000,MSFT
2023-08-01,331.19012451171875,333.3564512189415,328.5905625133595,330.0577387535238,18311900,MSFT
2023-08-02,322.4854736328125,328.52161875649267,321.3629143538821,328.52161875649267,27761300,MSFT
2023-08-03,321.6583557128906,324.82905395091615,320.9592352774214,321.0084576833229,18253700,MSFT
2023-08-04,322.7611999511719,330.00852304114176,322.229459739469,326.7984288690622,23741500,MSFT
2023-08-07,325.0555419921875,326.04023060027674,322.50520210327375,323.3421934302119,17741500,MSFT
2023-08-08,321.05767822265625,323.71634923267544,318.05439027271234,321.9537483771396,22327600,MSFT
2023-08-09,317.2962341308594,322.1014894948909,316.1342786870013,321.4713043858019,22373300,MSFT
2023-08-10,317.9854736328125,323.23388055451517,316.26226863024675,321.0281577170199,20113700,MSFT
2023-08-11,316.0948791503906,317.4734371020371,314.32242174086554,315.3563627423326,24355500,MSFT
2023-08-14,319.0784606933594,319.0981436446772,315.1790727103108,316.4690422541551,18836100,MSFT
2023-08-15,316.93182373046875,320.11237837893884,315.98653119187856,318.05438303591984,16966300,MSFT
2023-08-16,316.1621398925781,320.1289875880266,315.57006992613054,316.55684316556676,20698900,MSFT
2023-08-17,312.6886901855469,317.6126787186903,312.0275389046307,316.30028363904523,21257200,MSFT
2023-08-18,312.2940368652344,314.1689001847318,307.429221422088,310.3303374450524,24755000,MSFT
2023-08-21,317.6225891113281,318.50080167384647,312.84661003586535,313.7248225983837,24040000,MSFT
2023-08-22,318.1949157714844,321.7670303653258,317.2081424532329,321.1947150908699,16084600,MSFT
2023-08-23,322.6748962402344,324.84580972840274,319.1817100325212,319.5369641096459,21166400,MSFT
2023-08-24,315.73785400390625,328.57578427329713,315.7279766344483,328.44749892606876,23281400,MSFT
2023-08-25,318.70806884765625,321.05656413544324,314.5833333396425,317.2180314460419,21684100,MSFT
2023-08-28,319.41851806640625,321.83609449836024,317.46469615983295,321.3525852347555,14808500,MSFT
2023-08-29,324.0661926269531,324.6286605824637,317.62256478776396,317.62256478776396,19284600,MSFT
2023-08-30,324.4411926269531,325.4476905236703,322.1321467834745,324.3227846525076,15222100,MSFT
2023-08-31,323.4248352050781,326.5331651614873,322.45778650386836,324.8457912046821,26411000,MSFT
2023-09-01,324.31292724609375,327.5988691949411,322.45778856177515,326.9278705558269,14942000,MSFT
2023-09-05,329.1382141113281,330.4210374382803,324.31290845170753,324.64840775182194,18553900,MSFT
2023-09-06,328.47711181640625,330.03620043198475,325.81281177247035,328.97049848276976,17535800,MSFT
2023-09-07,325.54638671875,328.67444125152036,324.67802138664604,326.9081387064647,18381000,MSFT
2023-09-08,329.8486633300781,331.71367911357964,325.1022866960148,325.72395862384866,19530100,MSFT
2023-09-11,333.47021484375,333.9438769304571,330.9934039017012,332.77946139821074,16583300,MSFT
2023-09-12,327.3817443847656,332.33536528300334,327.0956018294752,331.37819404327416,17565500,MSFT
2023-09-13,331.6150207519531,332.3945800625575,326.7897151493459,326.9278477470877,16544400,MSFT
2023-09-14,334.2201232910156,336.3515270839073,332.1182913781519,334.6641532003969,20267000,MSFT
2023-09-15,325.8522644042969,332.93728912466776,325.2897964234444,332.4636572367329,37679800,MSFT
2023-09-18,324.7076110839844,326.0298836572718,322.043311199017,323.4642671224755,16834200,MSFT
2023-09-19,324.30303955078125,325.0332722714447,320.2178137413672,321.8558610357087,16505900,MSFT
2023-09-20,316.5272216796875,325.2305683428645,316.2706811307051,325.1516397386993,21436500,MSFT
2023-09-21,315.3037109375,321.04673949200236,310.8336285317438,315.03729295406083,35560400,MSFT
2023-09-22,312.8170471191406,317.19832345154833,311.96840633060816,317.0700380905197,21447900,MSFT
2023-09-25,313.34002685546875,313.46831221282724,310.83361404365974,312.40258010087473,17836000,MSFT
2023-09-26,308.01141357421875,311.7019358551928,305.9194290098136,310.9618559252266,26297600,MSFT
2023-09-27,308.65283203125,310.1428392517049,305.593828747816,308.16929263193225,19410100,MSFT
2023-09-28,309.4915771484375,311.3072363180732,305.3569948142918,306.8766039400304,19683600,MSFT
2023-09-29,311.5736999511719,315.2444981907834,310.8138952768678,313.54724674421175,24147300,MSFT
2023-10-02,317.54364013671875,317.6324762351651,311.0112056216763,312.09666228896396,20570000,MSFT
2023-10-03,309.2449035644531,317.13909008245986,307.09371485170817,316.5864693213822,21033500,MSFT
2023-10-04,314.7412109375,315.80694299104033,309.84682368319505,309.87642567835275,20720100,MSFT
2023-10-05,315.13592529296875,315.74775007089806,310.73492454627984,314.869507327209,16965600,MSFT
2023-10-06,322.9314270019531,324.8358921681667,312.1163703803469,312.36306369557445,25673600,MSFT
2023-10-09,325.45758056640625,325.93121248263185,318.9053913285908,320.45463265375236,19891200,MSFT
2023-10-10,324.0465393066406,326.72068685497203,323.3360612364862,326.5825241208616,20557100,MSFT
2023-10-11,328.0231628417969,328.41786610195646,324.7865479262028,326.82914557885897,20063200,MSFT
2023-10-12,326.7798767089844,329.2172081664268,324.37214724843665,326.19768402743284,19313100,MSFT
2023-10-13,323.3952331542969,329.414526355163,322.0433284012077,327.9837231000112,21072400,MSFT
2023-10-16,328.2402648925781,331.69397123136065,326.2272390517875,326.6712689412733,22158000,MSFT
2023-10-17,327.6679382324219,329.04941482391666,323.07944842920335,325.23060698695457,18338500,MSFT
2023-10-18,325.7437438964844,331.1512728246969,323.9576864994265,328.0922693438246,23153600,MSFT
2023-10-19,326.937744140625,332.42420139961934,326.5331634650962,327.75675274742485,25052100,MSFT
2023-10-20,322.3492736816406,327.52983393285876,321.1454089520383,327.33246721104837,25027700,MSFT
2023-10-23,324.9642028808594,328.3291035769389,320.0994175521123,321.16511950696747,24374700,MSFT
2023-10-24,326.1581115722656,327.45078192428565,323.2668736163078,326.91791601833137,31153600,MSFT
2023-10-25,336.1640625,341.6209174681372,333.15438596388094,340.4565021251705,55053800,MSFT
2023-10-26,323.5531311035156,337.11138741830564,322.61568436698997,336.0358080707796,37828500,MSFT
2023-10-27,325.4477233886719,332.2663310024127,324.0563693205719,326.059518061042,29856500,MSFT
2023-10-30,332.8485107421875,334.9602201307453,327.44098203313024,329.0001007639954,22828100,MSFT
2023-10-31,333.6379089355469,334.5161516349393,330.2631610837394,334.368141661427,20265300,MSFT
2023-11-01,341.49261474609375,342.82476461304486,335.15751743704527,335.29568014223713,28158800,MSFT
2023-11-02,343.712890625,344.21612454156855,340.2098272647779,342.64715857381447,24348100,MSFT
2023-11-03,348.13360595703125,349.7026019942071,342.7359548361638,345.00555147993623,23637700,MSFT
2023-11-06,351.81427001953125,352.810920650958,348.6763382726154,348.775021621636,23828300,MSFT
2023-11-07,355.7613830566406,357.66584833262294,352.8997464578491,354.6463243893139,25833900,MSFT
2023-11-08,358.3960876464844,359.057208917739,355.78111421518867,356.89617290299117,26767800,MSFT
2023-11-09,355.9192199707031,359.96499602316095,355.59356795817394,357.50791033254774,24847300,MSFT
2023-11-10,364.780517578125,365.2048228913201,356.2942607445592,356.7086886877949,28042100,MSFT
2023-11-13,361.8300476074219,363.5963803497688,361.0603655929023,363.3496870103211,19986500,MSFT
2023-11-14,365.37249755859375,367.0302994013767,362.4911367128115,366.10273019534225,27683900,MSFT
2023-11-15,365.5208740234375,368.94203087910716,362.9895794473633,367.1127890598003,26860100,MSFT
2023-11-16,371.94793701171875,372.12590947641365,366.02514736390873,366.79639155264005,27182300,MSFT
2023-11-17,365.6988525390625,370.1681097203814,362.88083457344084,369.41663021620167,40157000,MSFT
